/playlist?id=2829816518,[欧美私人订制] 最懂你的欧美推荐 每日更新35首,11859万,网易云音乐
/playlist?id=2867328694,空灵女声｜夜莺为谁而歌,46152,仍未飘落的雪
/playlist?id=2708691583,下班刷歌踩油门,179万,逗比笑一个n
/playlist?id=2866624523,运动打球必备/节奏控,240万,小sun是太阳
/playlist?id=2687869264,比伯 戳爷 霉霉 艾薇儿 火星哥 麦姐 烟鬼,22万,花花甜莓日系
/playlist?id=2653881464,戳爷/断眉/比伯/萌德/黄老板/霉霉/碧梨,45万,是社长吖
/playlist?id=3099335800,熬夜写作业必备醒脑歌单（英文）,201万,喜爱吃糖的小小高
/playlist?id=2814796200,打游戏必备【战歌、节奏电音、重金属】,503万,大白分享库
/playlist?id=2781412735,英文歌，流行~,187万,--仙气撩人--
/playlist?id=2839184829,提升英语语感的英文歌.,72万,吳-文-樂
/playlist?id=3236134881,【燃向】提神醒脑/高考/刷题/通宵/抖腿,85万,Avada阿瓦达啃大瓜
/playlist?id=2848226139,欧美｜极品旋律 无限循环！,284万,陪我去抓水母好吗
/playlist?id=3044288218,献给耳朵的礼物，150首欧美新锐歌曲,132万,pure日月
/playlist?id=2883145616,『凯尔特民谣』来自西欧风情的悠扬之音,272万,十三逆旅Li
/playlist?id=3019056054,草*莓°泡*泡°糖°○°*清甜肆意绽放,49万,羊羊小毛衣
/playlist?id=2991837660,不插电Acoustic | 回归本真，纯净空灵,149万,BAEK-J
/playlist?id=2756790661,『土嗨』那些无限循环的欧美劲曲,137万,梧桐影木丶
/playlist?id=2543609929, ⚡️ 电驾修仙俱乐部4.0,276万,喪甜老爹
/playlist?id=2715808089,韩信战歌（推荐随机播放）,80万,LARE季风
/playlist?id=2839131415,和平精英【吃鸡视频必备BGM】,351万,ZRBSX
/playlist?id=2906492713,【高质量电音】游戏专用,50万,Kite汐倾
/playlist?id=3102314489,【Future bass】色彩漩涡，摄人心魂,22万,曲库小护士
/playlist?id=3102355272,挑动律动神经的Dubstep音乐集,43万,曲库小护士
